Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
29,3684,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,157,0,0,1,533.3333,63.5766,0.1192,0,"LINESTRING (222092.93099999998 342243.44, 222105.44505736284 342243.0615412646)"
30,3685,5009291.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,83168,0,0,1,533.3333,56.7672,0.1064,0,"LINESTRING (222059.33399999997 342264.719, 222069.22600000002 342274.074, 222077.75799999997 342278.715, 222084.44199999998 342280.043, 222087.85600000003 342281.969, 222091.78000000003 342285.517, 222095.702 342288.614, 222098.44174312087 342290.4564550826)"
31,3686,5009289.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,108997,0,0,1,533.3333,62.6895,0.1175,0,"LINESTRING (222071.178 342253.314, 222067.08899999998 342247.743, 222054.734 342236.28, 222047.54700000002 342231.08, 222038.93099999998 342232.165, 222031.026 342234.968, 222026.13 342235.403, 222018.08500000002 342236.009)"
32,3689,5009290.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,57362,0,0,1,533.3333,30.6607,0.0575,0,"LINESTRING (222092.93099999998 342243.44, 222090.08338490798 342230.90771994396)"
33,3703,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,36503,0,0,1,533.3333,31.3206,0.0587,0,"LINESTRING (221762.831 345200, 221757.06900000002 345192.552, 221753.00699999998 345185.22, 221749.94300000003 345181.021, 221747.147 345177.573, 221744.19400000002 345175.049)"
34,3704,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,15833,0,0,1,533.3333,115.5318,0.2166,0,"LINESTRING (221744.19400000002 345175.049, 221741.298 345168.652, 221737.517 345157.624, 221735.539 345152.084, 221734.474 345148.027, 221734.24800000002 345145.151, 221734.80099999998 345141.832, 221736.55800000002 345138.099, 221738.515 345134.367, 221740.963 345131.664, 221743.783 345129.189, 221747.197 345127.594, 221750.73700000002 345125.775, 221755.19400000002 345124.938, 221758.69 345125.442, 221762.00799999997 345126.245, 221765.724 345127.277, 221768.735 345128.877, 221770.892 345131.019, 221773.44300000003 345133.839, 221775.54499999998 345136.507, 221777.315 345140.071, 221779.02899999998 345144.258, 221780.523 345147.795, 221781.58500000002 345152.377, 221782.67200000002 345156.785, 221783.50799999997 345163.196)"
35,3735,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,129414,0,0,1,533.3333,50.858,0.0954,0,"LINESTRING (222100.566 342617.858, 222097.11 342612.393, 222090.142 342600.914, 222081.24099999998 342591.053, 222074.032 342582.853, 222069.876 342577.52)"
36,3736,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,149874,0,0,1,533.3333,16.7959,0.0315,0,"LINESTRING (222069.876 342577.52, 222067.564 342573.768, 222065.227 342567.741, 222065.09100000001 342561.818)"
37,3737,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,109000,0,0,1,533.3333,47.6879,0.0894,0,"LINESTRING (222065.09100000001 342561.818, 222066.92200000002 342550.15, 222068.68199999997 342541.307, 222070.24 342532.441, 222071.26799999998 342522.881, 222071.314 342517.579, 222070.95899999997 342514.659)"
38,3738,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160170,0,0,1,533.3333,6.4363,0.0121,0,"LINESTRING (222070.95899999997 342514.659, 222069.84399999998 342508.32)"
39,3739,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,88225,0,0,1,533.3333,30.3623,0.0569,0,"LINESTRING (222072.14899999998 342494.123, 222074.822 342489.045, 222078.49099999998 342481.107, 222081.087 342470.881, 222082.65999999997 342465.79)"
40,3740,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,41773,0,0,1,533.3333,56.2777,0.1055,0,"MULTILINESTRING ((222082.65999999997 342465.79, 222082.18 342457.97, 222081.08697447224 342452.8234340245), (222076.37361369558 342439.80247271014, 222073.108 342433.887, 222067.00400000002 342423.699, 222062.35700000002 342419.121, 222060.146 342415.668))"
41,3744,5009258.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,155007,0,0,1,533.3333,25.7899,0.0484,0,"LINESTRING (222069.876 342577.52, 222073.935 342575.804, 222080.515 342573.812, 222087.38199999998 342573.043, 222094.876 342571.789)"
42,3745,5009259.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160171,0,0,1,533.3333,73.2807,0.1374,0,"LINESTRING (222004.76400000002 342534.445, 222006.669 342537.762, 222009.67200000002 342540.581, 222013.19199999998 342542.52, 222016.576 342543.436, 222019.951 342543.377, 222024.597 342542.979, 222029.00900000002 342544.16, 222031.825 342548.156, 222035.27899999998 342553.396, 222039.303 342558.204, 222043.54700000002 342562.437, 222049.109 342563.631, 222055.25 342562.743, 222065.09100000001 342561.818)"
43,3746,5009261.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160172,0,0,1,533.3333,30.193,0.0566,0,"LINESTRING (222055.31 342529.468, 222056.00699999998 342524.286, 222056.374 342518.582, 222057.22100000002 342513.398, 222060.49099999998 342510.515, 222064.902 342509.095, 222069.84399999998 342508.32)"
44,3747,5009260.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,41774,0,0,1,533.3333,56.6373,0.1062,0,"LINESTRING (222094.772 342518.216, 222094.668 342520.808, 222094.772 342523.296, 222095.28999999998 342525.991, 222096.119 342528.063, 222097.778 342529.723, 222100.474 342530.552, 222104.62 342530.655, 222108.663 342530.345, 222112.396 342529.516, 222114.055 342528.272, 222114.98700000002 342526.613, 222114.90899999999 342524.651, 222114.885 342524.021, 222114.365 342521.533, 222112.396 342520.187, 222107.83399999997 342519.875, 222102.858 342519.771, 222099.43699999998 342519.045, 222096.119 342518.008, 222094.772 342518.216)"
45,3748,5009260.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,52075,0,0,1,533.3333,24.8372,0.0466,0,"LINESTRING (222070.95899999997 342514.659, 222079.325 342514.587, 222085.131 342514.484, 222089.07 342514.898, 222092.387 342516.142, 222094.772 342518.216)"
46,3749,5009256.0,U,,0.0,0.0,2006-11-07,U6303,46895,0,0,1,533.3333,67.8055,0.1271,0,"LINESTRING (222135.96000000002 342499.824, 222154.039 342495.265, 222172.887 342490.124, 222191.78100000002 342484.532, 222200 342481.749, 222201.17700000003 342481.351)"
47,3751,5009255.0,U,DRUMGALLON,30059.0,0.0,2006-11-07,U6303,129415,0,0,1,533.3333,101.2526,0.1898,0,"LINESTRING (222134.565 342542.034, 222144.234 342538.765, 222159.212 342534.088, 222174.02000000002 342529.937, 222192.21600000001 342524.703, 222200 342522.899, 222219.265 342517.71, 222231.928 342514.354)"
48,3752,5009248.0,U,DRUMAWILL PARK,2904.0,0.0,2006-11-07,U6303,155008,0,0,1,533.3333,46.403,0.087,0,"LINESTRING (221906.32 342597.326, 221908.141 342599.112, 221909.42700000003 342600.124, 221910.35700000002 342600.663, 221912.50400000002 342600.292, 221915.304 342600.364, 221918.614 342601.28, 221922.26400000002 342603.718, 221927.179 342610.069, 221932.33000000002 342617.416, 221935.25199999998 342622.012, 221936.153 342624.601, 221936.624 342627.712)"
49,3753,5009248.0,U,DRUMAWILL PARK,2904.0,0.0,2006-11-07,U6303,103748,0,0,1,533.3333,71.3404,0.1338,0,"LINESTRING (221936.624 342627.712, 221936.663 342627.972, 221935.044 342630.939, 221931.55599999998 342634.674, 221926.86800000002 342638.322, 221920.68 342641.959, 221914.36599999998 342643.049, 221907.29700000002 342641.27, 221902.68099999998 342639.717, 221899.76241178045 342639.2030074093)"
50,3755,5009250.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,57363,0,0,1,533.3333,52.7316,0.0989,0,"LINESTRING (222026.669 342487.636, 222032.77500000002 342487.121, 222041.58399999997 342485.557, 222047.58899999998 342483.446, 222050.07299999997 342481.896, 222054.798 342479.448, 222059.67700000003 342482.248, 222063.85499999998 342487.38, 222067.571 342491.393, 222072.14899999998 342494.123)"
51,3756,5009251.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,26117,0,0,1,533.3333,38.7271,0.0726,0,"LINESTRING (222082.65999999997 342465.79, 222090.401 342464.886, 222100.162 342463.462, 222105.572 342462.032, 222112.47999999998 342460.313, 222119.1122845574 342458.44233448873)"
52,3758,5009252.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,114185,0,0,1,533.3333,35.3807,0.0663,0,"LINESTRING (222028.803 342431.94, 222036.04499999998 342427.913, 222044.499 342423.377, 222054.168 342417.854, 222060.146 342415.668)"
53,3761,0.0,U,DRUMAWILL PARK,2904.0,0.0,2006-11-07,U6303,134525,0,0,1,533.3333,21.1812,0.0397,0,"LINESTRING (221936.624 342627.712, 221940.793 342628.43, 221947.434 342627.538, 221952.61 342625.21, 221956.544 342622.875)"
54,3790,5000288.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,114189,0,0,1,1466.6667,265.271,0.1809,0,"LINESTRING (200453.40899999999 357951.679, 200407.32 357936.368, 200355.064 357911.453, 200320.99800000002 357899.904, 200310.227 357896.483, 200288.191 357890.195, 200244.109 357875.77, 200206.94400000002 357864.393, 200203.59399999998 357863.968)"
55,3806,5009225.0,U,GLENWOOD GARDENS,30274.0,0.0,2006-11-07,U6300,173,0,0,1,533.3333,61.2711,0.1149,0,"LINESTRING (222057.588 342647.07, 222072.19 342674.121, 222083.5015833331 342694.94129818707)"
56,3814,5009514.0,U,CROSS STREET,5072.0,0.0,2006-11-07,U6517,62485,0,0,1,533.3333,31.1861,0.0585,0,"LINESTRING (223515.961 344210.264, 223516.104 344207.315, 223516.62900000002 344203.043, 223518.006 344198.652, 223520.011 344193.614, 223522.21399999998 344188.803, 223527.206 344181.783)"
57,4114,5000690.0,B,KILLADEAS ROAD,34030.0,0.0,2006-11-07,B0082,88104,0,0,1,1066.6667,94.8515,0.0889,0,"LINESTRING (219079.34399999998 360454.487, 219094.544 360488.124, 219106.50300000003 360513.047, 219117.50400000002 360532.43, 219121.72499999998 360539.236)"
58,4117,5001099.0,U,INISHMORE ROAD,33933.0,0.0,2006-11-07,U0505,51942,0,0,1,533.3333,116.5413,0.2185,0,"LINESTRING (225537.09399999998 334341.411, 225491.75 334307.628, 225455.61599999998 334283.587, 225442.206 334273.811)"
59,4145,5000675.0,B,MONEA ROAD,0.0,0.0,2006-11-07,B0081,62337,0,0,1,1066.6667,53.9815,0.0506,0,"LINESTRING (221853.56900000002 345156.864, 221847.87900000002 345146.82, 221841.049 345138.665, 221833.93099999998 345131.982, 221822.51899999997 345121.637, 221817.202 345117.67)"
60,4235,5009147.0,U,ERNE PARK,22424.0,0.0,2006-11-07,U6151,108864,0,0,1,533.3333,45.9838,0.0862,0,"LINESTRING (217782.608 363708.332, 217811.22499999998 363715.612, 217817.92732130853 363717.0091317248)"
61,4680,5009357.0,U,CORBAN AVENUE,11415.0,0.0,2006-11-07,U6501,51998,0,0,1,533.3333,32.2088,0.0604,0,"LINESTRING (223442.35600000003 345170.598, 223451.287 345166.151, 223463.11599999998 345161.677, 223472.088 345158.304)"
62,4703,5009522.0,U,HEAD STREET,14812.0,0.0,2006-11-07,U6519,57282,0,0,1,533.3333,125.6002,0.2355,0,"LINESTRING (223337.947 344344.03, 223313.85600000003 344355.725, 223294.35700000002 344365.033, 223288.24300000002 344367.639, 223262.17599999998 344375.461, 223220.304 344386.693)"
63,4704,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,154936,0,0,1,533.3333,77.3946,0.1451,0,"LINESTRING (223402.782 344313.56, 223400 344308.781, 223391.84600000002 344291.874, 223379.32 344265.499, 223367.66700000002 344244.637)"
64,4906,5010472.0,U,GRANSHAGH ROAD,33796.0,0.0,2006-11-07,U0325,139580,0,0,1,533.3333,124.5865,0.2336,0,"LINESTRING (222079.94799999997 340167.072, 222093.77500000002 340179.531, 222116.65000000002 340199.583, 222135.75699999998 340216.758, 222144.04247052505 340223.0795995371)"
65,5391,7000426.0,U,WILLOUGHBY MEWS,310.0,0.0,2006-11-07,U6528,139631,0,0,1,533.3333,79.9233,0.1499,0,"LINESTRING (222208.65801522383 344794.1696911624, 222209.12699999998 344794.375, 222211.40399999998 344795.113, 222213.68 344795.913, 222216.04100000003 344796.535, 222219.157 344797.144, 222231.898 344800, 222242.255 344800.731, 222249.50400000002 344801.193, 222255.566 344801.325, 222258.005 344800.862, 222260.50900000002 344800.402, 222263.16999999998 344800)"
66,6423,5009522.0,U,HEAD STREET,14812.0,0.0,2006-11-07,U6519,52217,0,0,1,533.3333,71.6412,0.1343,0,"LINESTRING (223402.782 344313.56, 223400 344314.838, 223367.777 344329.635, 223337.947 344344.03)"
67,6790,5001828.0,A,WELLINGTON ROAD,36968.0,0.0,2006-11-07,A0004,5401,0,0,1,1466.6667,32.6925,0.0223,0,"LINESTRING (223400 344079.259, 223379.80099999998 344104.965)"
68,7853,5000290.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,78087,0,0,1,1466.6667,249.39,0.17,0,"LINESTRING (194888.15091582405 358300.5227014611, 194905.771 358298.471, 194929.821 358295.428, 194955.322 358291.441, 194979.97100000002 358288.901, 195005.62 358285.514, 195020.267 358284.749)"
69,7892,5009231.0,U,ORCHARD COURT,30887.0,0.0,2006-11-07,U6300,31560,0,0,1,533.3333,101.4843,0.1903,0,"LINESTRING (222128.84872418354 342667.5868866125, 222125.32299999997 342649.991, 222124.722 342646.684, 222125.12199999997 342643.804, 222126.515 342640.798, 222137.87800000003 342631.445, 222140.5 342629.306, 222151.72499999998 342625.594, 222172.072 342618.092)"
70,7905,5009531.0,U,HIGH STREET,4220.0,0.0,2006-11-07,U6523,36649,0,0,1,533.3333,26.6179,0.0499,0,"LINESTRING (223464.40000000002 344175.343, 223468.15600000002 344170.607, 223480.776 344154.359)"
71,7985,5017386.0,U,FRIARS WAY,20303.0,0.0,2006-11-07,C0649,57520,0,0,1,533.3333,126.1573,0.2365,0,"LINESTRING (221767.495 345011.416, 221769.99200000003 345009.854, 221773.99 345008.735, 221777.691 345008.092, 221780.36800000002 345008.53, 221782.84600000002 345009.193, 221787.13 345011.374, 221796.478 345017.781, 221800.97719804887 345020.83375656203)"
72,7996,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,41932,0,0,1,1466.6667,129.5705,0.0883,0,"LINESTRING (203314.75300000003 358319.313, 203245.68300000002 358307.182, 203207.925 358300.974, 203187.049 358297.408)"
73,8021,5016972.0,A,Q.ELIZABETH ROUNDABOUT,0.0,0.0,2006-11-07,,144906,0,0,1,1466.6667,19.0236,0.013,0,"LINESTRING (223462.439 344394.304, 223463.42700000003 344396.31, 223463.96500000003 344398.388, 223464.104 344400, 223462.43199999997 344404.213, 223458.43 344407.159, 223455.255 344408.681)"
74,8699,5016970.0,C,QUEEN ELIZABETH ROAD,6988.0,0.0,2006-11-07,C0709,160254,0,0,1,666.6667,134.6316,0.2019,0,"LINESTRING (223462.439 344394.304, 223468.25400000002 344391.589, 223477.902 344387.647, 223487.43199999997 344382.579, 223487.501 344382.538, 223497.365 344376.714, 223505.119 344371.711, 223515.78999999998 344363.825, 223528.102 344353.124, 223539.212 344342.941, 223548.847 344332.749, 223558.43699999998 344321.607, 223566.66999999998 344311.732)"
75,9557,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,114240,0,0,1,1466.6667,114.438,0.078,0,"LINESTRING (201607.41887988162 357810.2683670977, 201612.34499999997 357811.611)"
76,11038,5009514.0,U,CROSS STREET,5072.0,0.0,2006-11-07,U6517,88502,0,0,1,533.3333,14.49,0.0272,0,"LINESTRING (223527.206 344181.783, 223535.401 344169.833)"
77,11373,5017249.0,U,WILLOUGHBY COURT,311.0,0.0,2006-11-07,U6528,139951,0,0,1,533.3333,95.2555,0.1786,0,"LINESTRING (222255.25199999998 344899.31, 222266.131 344893.772, 222270.749 344891.947, 222274.577 344889.68, 222279.164 344885.904, 222284.673 344878.897, 222289.809 344871.654, 222292.71738683537 344865.3966425725)"
78,11376,5017246.0,U,THE LIMES,20305.0,0.0,2006-11-07,U6528,93669,0,0,1,533.3333,28.3634,0.0532,0,"LINESTRING (222145.31199999998 344953.283, 222151.87699999998 344942.643, 222155.44799999997 344937.25, 222160.42200000002 344934.319, 222163.316 344932.145)"
79,11380,5017243.0,U,THE LIMES,20305.0,0.0,2006-11-07,U6528,62810,0,0,1,533.3333,21.4411,0.0402,0,"LINESTRING (222135.68091521956 344946.83674113726, 222139.892 344949.788, 222145.31199999998 344953.283)"
80,11386,0.0,U,THE LIMES,20305.0,0.0,2006-11-07,U6528,145051,0,0,1,533.3333,283.8399,0.5322,0,"LINESTRING (221720.456 344922.807, 221727.0608851519 344925.0686635046)"
81,12312,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,129653,0,0,1,533.3333,38.956,0.073,0,"LINESTRING (222060.146 342415.668, 222058.963 342410.006, 222058.10100000002 342403.914, 222057.38400000002 342400, 222053.228 342377.338)"
82,14669,5000218.0,A,IRVINESTOWN ROAD,30402.0,0.0,2006-11-07,A0032,119504,0,0,1,1466.6667,391.1437,0.2667,0,"LINESTRING (223612.321 348399.49, 223623.64899999998 348367.701, 223634.325 348327.254, 223639.83500000002 348290.077, 223642.702 348260.585, 223640.864 348214.66, 223639.913 348144.732, 223637.97100000002 348081.649, 223638.956 348022.788, 223639.30699999997 348012.322)"
83,14767,5000296.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,93696,0,0,1,1466.6667,171.2431,0.1168,0,"LINESTRING (213454.90399999998 354961.878, 213451.137 354926.762, 213449.304 354894.925, 213444.21999999997 354863.023, 213441.696 354831.995, 213440.21471642365 354818.2795156313)"
