Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
20,8699,5016970.0,C,QUEEN ELIZABETH ROAD,6988.0,0.0,2006-11-07,C0709,160254,0,0,1,666.6667,134.6316,0.2019,0,"LINESTRING (223462.439 344394.304, 223464.8579659516 344393.1745945729)"
21,14669,5000218.0,A,IRVINESTOWN ROAD,30402.0,0.0,2006-11-07,A0032,119504,0,0,1,1466.6667,391.1437,0.2667,0,"LINESTRING (223619.70408466412 348378.7713490123, 223623.64899999998 348367.701, 223634.325 348327.254, 223639.83500000002 348290.077, 223642.702 348260.585, 223640.864 348214.66, 223639.913 348144.732, 223637.97100000002 348081.649, 223638.956 348022.788, 223639.30699999997 348012.322)"
22,17165,5000347.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,93809,0,0,1,1466.6667,186.9731,0.1275,0,"LINESTRING (223257.30801528093 340483.248798166, 223251.652 340451.249)"
23,17406,5000309.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,648,0,0,1,1466.6667,218.4591,0.1489,0,"LINESTRING (202020.37712489325 361517.1812139211, 202007.64 361508.976, 201985.478 361494.581, 201967.582 361482.056, 201949.517 361467.031, 201933.0389397757 361453.5933250882)"
25,17419,5000309.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,124787,0,0,1,1466.6667,4722.9324,3.2202,0,"LINESTRING (213804.35894158282 364269.7183245342, 213842.485 364312.063, 213891.349 364367.182, 213929.849 364408.339, 213958.19400000002 364439.69, 213982.76 364463.75, 213993.48100000003 364471.812)"
26,19387,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,16364,0,0,1,1466.6667,1526.4547,1.0408,0,"LINESTRING (203314.75300000003 358319.313, 203368.95299999998 358326.412, 203433.55395539672 358336.40494500106)"
27,19396,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,83693,0,0,1,1466.6667,660.5641,0.4504,0,"LINESTRING (201816.06470000045 357875.09533254313, 201841.18699999998 357886.74, 201868.4443460126 357897.89445029997)"
28,19398,5000296.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,114720,0,0,1,1466.6667,475.2317,0.324,0,"LINESTRING (213097.0860363177 355681.9258837769, 213096.327 355682.929, 213089.272 355691.478, 213082.43300000002 355697.679, 213073.789 355704.469, 213066.358 355709.067, 213053.961 355716.183, 213038.56300000002 355723.327, 213026.08399999997 355727.492, 213006.65000000002 355732.311, 212973.40399999998 355738.388, 212929.88799999998 355747.146, 212886.887 355753.709, 212865.82873452295 355756.2850480815)"
29,19402,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,109515,0,0,1,1466.6667,220.728,0.1505,0,"LINESTRING (203187.049 358297.408, 203130.90399999998 358280.548, 203106.10100000002 358272.962, 203059.04100000003 358258.45, 203012.875 358245.095, 202976.65999999997 358230.994)"
30,19420,5000288.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,78482,0,0,1,1466.6667,417.3576,0.2846,0,"LINESTRING (200560.28858027828 357978.4061826047, 200522.40600000002 357969.621, 200474.73700000002 357956.972, 200458.973 357954.038, 200453.40899999999 357951.679)"
