,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
15,3704,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,15833,0,0,,1,533.3333,115.5318,0.2166,0,"LINESTRING (221744.19400000002 345175.049, 221741.298 345168.652, 221737.517 345157.624, 221735.539 345152.084, 221734.474 345148.027, 221734.24800000002 345145.151, 221734.80099999998 345141.832, 221736.55800000002 345138.099, 221738.515 345134.367, 221740.963 345131.664, 221743.783 345129.189, 221747.197 345127.594, 221750.73700000002 345125.775, 221755.19400000002 345124.938, 221758.69 345125.442, 221762.00799999997 345126.245, 221765.724 345127.277, 221768.735 345128.877, 221770.892 345131.019, 221773.44300000003 345133.839, 221775.54499999998 345136.507, 221777.315 345140.071, 221779.02899999998 345144.258, 221780.523 345147.795, 221781.58500000002 345152.377, 221782.67200000002 345156.785, 221783.50799999997 345163.196)",,,,,,,,,,,,,,,,,,,,,,,
16,3735,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,129414,0,0,,1,533.3333,50.858,0.0954,0,"LINESTRING (222100.566 342617.858, 222097.11 342612.393, 222090.142 342600.914, 222081.24099999998 342591.053, 222074.032 342582.853, 222069.876 342577.52)",,,,,,,,,,,,,,,,,,,,,,,
17,3736,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,149874,0,0,,1,533.3333,16.7959,0.0315,0,"LINESTRING (222069.876 342577.52, 222067.564 342573.768, 222065.227 342567.741, 222065.09100000001 342561.818)",,,,,,,,,,,,,,,,,,,,,,,
18,3737,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,109000,0,0,,1,533.3333,47.6879,0.0894,0,"LINESTRING (222065.09100000001 342561.818, 222066.92200000002 342550.15, 222068.68199999997 342541.307, 222070.24 342532.441, 222071.26799999998 342522.881, 222071.314 342517.579, 222070.95899999997 342514.659)",,,,,,,,,,,,,,,,,,,,,,,
19,3738,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160170,0,0,,1,533.3333,6.4363,0.0121,0,"LINESTRING (222070.95899999997 342514.659, 222069.84399999998 342508.32)",,,,,,,,,,,,,,,,,,,,,,,
20,3739,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,88225,0,0,,1,533.3333,30.3623,0.0569,0,"LINESTRING (222072.14899999998 342494.123, 222074.822 342489.045, 222078.49099999998 342481.107, 222081.087 342470.881, 222082.65999999997 342465.79)",,,,,,,,,,,,,,,,,,,,,,,
21,3740,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,41773,0,0,,1,533.3333,56.2777,0.1055,0,"LINESTRING (222082.65999999997 342465.79, 222082.18 342457.97, 222080.262 342448.939, 222077.897 342442.562, 222073.108 342433.887, 222067.00400000002 342423.699, 222062.35700000002 342419.121, 222060.146 342415.668)",,,,,,,,,,,,,,,,,,,,,,,
22,3744,5009258.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,155007,0,0,,1,533.3333,25.7899,0.0484,0,"LINESTRING (222069.876 342577.52, 222073.935 342575.804, 222080.515 342573.812, 222087.38199999998 342573.043, 222094.876 342571.789)",,,,,,,,,,,,,,,,,,,,,,,
23,3745,5009259.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160171,0,0,,1,533.3333,73.2807,0.1374,0,"LINESTRING (222004.76400000002 342534.445, 222006.669 342537.762, 222009.67200000002 342540.581, 222013.19199999998 342542.52, 222016.576 342543.436, 222019.951 342543.377, 222024.597 342542.979, 222029.00900000002 342544.16, 222031.825 342548.156, 222035.27899999998 342553.396, 222039.303 342558.204, 222043.54700000002 342562.437, 222049.109 342563.631, 222055.25 342562.743, 222065.09100000001 342561.818)",,,,,,,,,,,,,,,,,,,,,,,
24,3746,5009261.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,160172,0,0,,1,533.3333,30.193,0.0566,0,"LINESTRING (222055.31 342529.468, 222056.00699999998 342524.286, 222056.374 342518.582, 222057.22100000002 342513.398, 222060.49099999998 342510.515, 222064.902 342509.095, 222069.84399999998 342508.32)",,,,,,,,,,,,,,,,,,,,,,,
